intput,output,type,status
3a9al,gentil,adjective,to review
3a9la,gentille,adjective,to review
3a9lin,gentil(le)s,adjective,to review
wa3ar,difficile,adjective,to review
wa3ra,difficile,adjective,to review
wa3rin,difficiles,adjective,to review
s3ib,difficile,adjective,to review
s3iba,difficile,adjective,to review
s3ab,difficiles,adjective,to review
bnin,délicieux,adjective,to review
bnina,délicieuse,adjective,to review
bnaan,délicieux(ses),adjective,to review
faregh,vide,adjective,to review
fergha,vide,adjective,to review
ferghin,vides,adjective,to review
skhoun,chaud,adjective,to review
skhouna,chaude,adjective,to review
skhounin,chaud(e)s,adjective,to review
chbeb,beau,adjective,to review
chebba,belle,adjective,to review
chebbin,beaux/belles,adjective,to review
wadjed,prêt,adjective,to review
wajda,prête,adjective,to review
wajdin,prêt(e)s,adjective,to review
9rib,proche,adjective,to review
9riba,proche,adjective,to review
9rab,proches,adjective,to review
bared,froid,adjective,to review
barda,froide,adjective,to review
bardin,froid(e)s,adjective,to review
touil,long,adjective,to review
touila,longue,adjective,to review
toual,long(ue)s,adjective,to review
sehel,facile,adjective,to review
sehla,facile,adjective,to review
sehlin,faciles,adjective,to review
9ari,instruit,adjective,to review
9aria,instruite,adjective,to review
9aryine,instruit(e)s,adjective,to review
wa9af,debout,adjective,to review
wa9fa,debout,adjective,to review
wa9fine,debout,adjective,to review
9a3ad,assis,adjective,to review
9a3da,assis,adjective,to review
9a3dine,assis(es),adjective,to review
batal,gratuit(e)(s),adjective,to review
9bih,méchant,adjective,to review
9biha,méchante,adjective,to review
9bah,méchant(e)s,adjective,to review
m9ala9,inquiet / impatient,adjective,to review
m9al9a,inquiète / impatiente,adjective,to review
m9al9in,inquiet(e)s / impatient(e)s,adjective,to review
mahboul,fou,adjective,to review
mahboula,folle,adjective,to review
mhabel,fous/folles,adjective,to review
far7an,heureux,adjective,to review
far7ana,heureuse,adjective,to review
far7anin,heureux(ses),adjective,to review
7achman,timide,adjective,to review
7achmana,timide,adjective,to review
7achmanin,timides,adjective,to review
f7el,courageux,adjective,to review
fa7la,courageuse,adjective,to review
f7oula,courageux(ses),adjective,to review
ndif,propre,adjective,to review
ndifa,propre,adjective,to review
ndaf,propres,adjective,to review
n9i,propre,adjective,to review
n9ia,propre,adjective,to review
n9iyin,propres,adjective,to review
chater,dégourdi,adjective,to review
chatra,dégourdie,adjective,to review
chatrin,dégourdis,adjective,to review
chatrat,dégourdies,adjective,to review
mez3ou9,moche,adjective,to review
Mez3ou9a,moche,adjective,to review
mez3ou9in,moches,adjective,to review
rzin,posé,adjective,to review
rzina,posée,adjective,to review
rzan,posé(e)s,adjective,to review
9awi,fort,adjective,to review
9awiya,forte,adjective,to review
9awyin,fort(e)s,adjective,to review
za3fan,énervé,adjective,to review
za3fana,énervée,adjective,to review
za3fin,énervé(e)s,adjective,to review
mwesekh,sale,adjective,to review
mweskha,sale,adjective,to review
mweskhin,sales,adjective,to review
zawali,pauvre,adjective,to review
zawalia,pauvre,adjective,to review
zwawla,pauvres,adjective,to review
maghboun,triste,adjective,to review
maghbouna,triste,adjective,to review
maghbounin,tristes,adjective,to review
7ar,épicé / piment,adjective,to review
7ara,épicée,adjective,to review
7arine,épicé(e)s,adjective,to review
mala7,salé,adjective,to review
mal7a,salée,adjective,to review
mal7in,salé(e)s,adjective,to review
7lou,sucré / adorable,adjective,to review
7louwa,sucrée / adorable,adjective,to review
7louwine,sucré(e)s / adorable,adjective,to review
mamdoud,allongé,adjective,to review
mamdouda,allongée,adjective,to review
mamdoudine,allongé(e)s,adjective,to review
françaoui,français,adjective,to review
françaouia,française,adjective,to review
françis,français(e)s,adjective,to review
dziri,algérien,adjective,to review
dziria,algérienne,adjective,to review
dziriyin,algérien(ne)s,adjective,to review
gawri,européen,adjective,to review
gawria,européenne,adjective,to review
gwer,europén(ne)s,adjective,to review
marouki,marocain,adjective,to review
maroukia,marocaine,adjective,to review
mrarka,marocain(e)s,adjective,to review
tounsi,tunisien,adjective,to review
tounsia,tunisienne,adjective,to review
twensa,tunisien(ne)s,adjective,to review
masri,egyptien,adjective,to review
masria,egyptienne,adjective,to review
msarwa,egyptien(ne)s,adjective,to review
3arbi,arabe,adjective,to review
3arbia,arabe,adjective,to review
3rab,arabes,adjective,to review
mouslim,musulman,adjective,to review
mouslima,musulmane,adjective,to review
mouslimine,musulman(e)s,adjective,to review
massihi,chrétien,adjective,to review
massihia,chrétienne,adjective,to review
massihiyine,chrétien(ne)s,adjective,to review
yhoudi,juif,adjective,to review
yhoudia,juive,adjective,to review
yhoud,juif(ve)s,adjective,to review
ka7louche,noir,adjective,to review
ka7loucha,noire,adjective,to review
k7alech,noir(e)s,adjective,to review
mayet jou3,affamé,adjective,to review
mayta jou3,affamée,adjective,to review
maytin jou3,affamé(e)s,adjective,to review
mayet 3tach,assoifé,adjective,to review
mayta 3tech,assoifée,adjective,to review
maytin 3tech,assoifé(e)s,adjective,to review
chab3an,rassasié,adjective,to review
chab3ana,rassasiée,adjective,to review
chab3anin,rassasié(e)s,adjective,to review
dji3an,faim (h),adjective,to review
dji3ana,faim (f),adjective,to review
dji3anin,faim (p),adjective,to review
3atchane,soif (h),adjective,to review
3atchana,soif (h),adjective,to review
3atchanine,soif (f),adjective,to review
9ar3aj,curieux (p),adjective,to review
9ar3aja,curieuse,adjective,to review
9ar3ajine,curieux(ses),adjective,to review
m3abi,plein,adjective,to review
m3abia,pleine,adjective,to review
m3abyine,plein(e)s,adjective,to review
mezroub,pressé,adjective,to review
mezrouba,pressée,adjective,to review
mezroubin,pressé(e)s,adjective,to review
ghayeb,absent,adjective,to review
ghayba,absente,adjective,to review
ghaybin,absent(e)s,adjective,to review
7adar,présent,adjective,to review
7adra,présente,adjective,to review
7adrine,présent(e)s,adjective,to review
lati,occupé,adjective,to review
latya,occupée,adjective,to review
latyin,occupé(e)s,adjective,to review
khayef,peur,adjective,to review
khayfa,peur,adjective,to review
khayfin,peur,adjective,to review
ra9ad,endormi,adjective,to review
ra9da,endormie,adjective,to review
ra9din,endormi(e)s,adjective,to review
nayed,éveillé,adjective,to review
nayda,éveillée,adjective,to review
naydin,éveillé(e)s,adjective,to review
hayel,enthousiaste,adjective,to review
hayla,enthousiaste,adjective,to review
haylin,enthousiastes,adjective,to review
mbaher,perdu,adjective,to review
mbahra,perdue,adjective,to review
mbahrin,perdu(e)s,adjective,to review
ma7ro9,brûlé,adjective,to review
ma7ro9a,brûlée,adjective,to review
ma7ro9in,brûlé(e)s,adjective,to review
mkasar,cassé,adjective,to review
mkasra,cassée,adjective,to review
mkasrin,cassé(e)s,adjective,to review
mgachech,fâché,adjective,to review
mgacha,fâchée,adjective,to review
mgachin,fâché(e)s,adjective,to review
ghani,riche,adjective,to review
ghaniya,riche,adjective,to review
aghniya,riches,adjective,to review
ghayour,jaloux,adjective,to review
ghayoura,jalouse,adjective,to review
ghayourin,jaloux(ses),adjective,to review
mchamakh,mouillé,adjective,to review
mchamkha,mouillé,adjective,to review
mchamkhin,mouillé(e)s,adjective,to review
nachef,sec,adjective,to review
nachfa,sèche,adjective,to review
nachfin,secs(ches),adjective,to review
niya,naïf / naïve / naïfs(ves),adjective,to review
fassed,pourri,adjective,to review
fassda,pourrie,adjective,to review
fassdin,pourri(e)s,adjective,to review
s7i7,solide,adjective,to review
s7i7a,solide,adjective,to review
s7a7,solide,adjective,to review
rachi,fragile,adjective,to review
rachia,fragile,adjective,to review
rachiyin,fragiles,adjective,to review
mach7a7,radin,adjective,to review
mach7a7a,radine,adjective,to review
mach7a7in,radin(e)s,adjective,to review
krim,généreux,adjective,to review
krima,généreuse,adjective,to review
krimin,généreux(ses),adjective,to review
7assel,bloqué,adjective,to review
7assla,bloquée,adjective,to review
7asslin,bloqué(e)s,adjective,to review
na3san,sommeil,adjective,to review
na3sana,sommeil,adjective,to review
na3sanin,sommeil,adjective,to review
7ili,rusé,adjective,to review
7ilia,rusée,adjective,to review
7iliyin,rusé(e)s,adjective,to review
m9atta3,déchiré,adjective,to review
m9att3a,déchirée,adjective,to review
m9att3in,déchiré(e)s,adjective,to review
mtabbez,abîmé,adjective,to review
mttabza,abîmée,adjective,to review
mttabzin,abîmé(e)s,adjective,to review
9dim,ancien,adjective,to review
9dima,ancienne,adjective,to review
9dam,ancien(ne)s,adjective,to review
mfachech,gâté,adjective,to review
mfachcha,gâtée,adjective,to review
mfachchin,gâté(e)s,adjective,to review
mttafi,crevé,adjective,to review
mttafia,crevée,adjective,to review
mttafin,crevé(e)s,adjective,to review
mach3ol,allumé,adjective,to review
mach3ola,allumée,adjective,to review
mach3olin,allumé(e)s,adjective,to review
ma9lob,retourné,adjective,to review
ma9loba ,retournée,adjective,to review
ma9lobin,retourné(e)s,adjective,to review
bayra,célibataire,adjective,to review
labass,porté,adjective,to review
labssa,portée,adjective,to review
labssin,porté(e)s,adjective,to review
mzawadj,marié,adjective,to review
mzawadja,mariée,adjective,to review
mzawadjin,marié(e)s,adjective,to review
7ayer,inquiet,adjective,to review
7ayra,inquiète,adjective,to review
7ayrin,inquiet(e)s,adjective,to review
tala3,haut,adjective,to review
tal3a,haute,adjective,to review
tal3in,haut(e)s,adjective,to review
habatt,bas,adjective,to review
habta,basse,adjective,to review
habtin,bas(ses),adjective,to review
samatt,insupportable,adjective,to review
samtta,insupportable,adjective,to review
samttin,insupportables,adjective,to review
djafi,dur,adjective,to review
djafia,dure,adjective,to review
djfiyin,dur(e)s,adjective,to review
7nin,doux,adjective,to review
7nina,douce,adjective,to review
7nan,doux(ces),adjective,to review
barhouche,malpoli,adjective,to review
barhoucha,malpolie,adjective,to review
barhouchin,malpoli(e)s,adjective,to review
drif,poli,adjective,to review
drifa,polie,adjective,to review
draaf,poli(e)s,adjective,to review
mrabbi,bien élevé,adjective,to review
mrabbia,bien élevée,adjective,to review
mrabbiyin,bien élevé(e)s,adjective,to review
mzayet,gras,adjective,to review
mzayta,grasse,adjective,to review
mzaytin,gras(ses),adjective,to review
bachouch,agréable,adjective,to review
bachoucha,agréable,adjective,to review
bachouchin,agréables,adjective,to review
mchanef,fâché,adjective,to review
mchanfa,fâchée,adjective,to review
mchanfin,fâché(e)s,adjective,to review
Bessif,forcément / obligatoirement,adverb,to review
bark,juste,adverb,to review
bla39al,lentement,adverb,to review
ktar,plus,adverb,to review
belkhaf,rapidement,adverb,to review
mzia,heureusement,adverb,to review
win,où,spacial,to review
mnin,par où / d'où,spacial,to review
me(n),de,spacial,to review
menna,par là,spacial,to review
tri9,direction,spacial,to review
youssra,gauche,spacial,to review
el youssra,à gauche,spacial,to review
youmna,droite,spacial,to review
el youmna,à droite,spacial,to review
9addam,devant,spacial,to review
melor / mourak,derrière,spacial,to review
fo9,en haut,spacial,to review
te7t,en bas,spacial,to review
9bela,tout droit,spacial,to review
lil (le-),à/au (vers),spacial,to review
fi (fe-),à/au (fixe),spacial,to review
hna,ici,spacial,to review
hnek / tema,là-bas,spacial,to review
lhik,là,spacial,to review
mena,par là,spacial,to review
plaza,endroit / lieu,place,to review
qaddem,à côté,spacial,to review
dair / djiet,autour,spacial,to review
men djihet,du côté,spacial,to review
fi djwayeh / djihat,aux environs,spacial,to review
koulchi / keemel,tout,adverb,to review
chouya,un peu,adverb,to review
ga3,tous,adverb,to review
qrib,presque,spacial,to review
ghir,seulement / dès que,adverb,to review
bezef,beaucoup,adverb,to review
dekhel,à l'intérieur / dedans,spacial,to review
berra,à l'extérieur / dehors,spacial,to review
fe,dans,spacial,to review
hada,ce (masculin),spacial,to review
hadi,ce (féminin),spacial,to review
hadak - dak,celui (loin),spacial,to review
hadik - dik,celle (loin),spacial,to review
hadouk -douk,ceux (loin),spacial,to review
hadu,ce (pluriel),spacial,to review
hahu,voilà (masc),spacial,to review
hahi,voilà (fém),spacial,to review
hahum,voilà (plur),spacial,to review
had,ce / cet / cette,spacial,to review
mdina,ville,place,to review
3and,chez,place,to review
bit er-rqad,chambre,place,to review
el7ebta,la descente,spacial,to review
ettel3a,la montée,spacial,to review
ettri9,la rue,place,to review
men 3endna,proche de chez nous,spacial,to review
7ouma,quartier,place,to review
dakhla,l'entrée,place,to review
lkharja ,la sortie,place,to review
zon9a,la rue,place,to review
ghorba,à l'étranger,place,to review
wo9tech,quand,temporal,to review
ki,lorsque,temporal,to review
wa9t,temps,temporal,to review
el bara7,hier,temporal,to review
loul bara7,avant hier,temporal,to review
lioum,aujourd'hui / un jour,temporal,to review
ghedwa,demain,temporal,to review
ghir ghedwa,après demain,temporal,to review
doka / dorka,maintenant,temporal,to review
temtem,tout de suite,temporal,to review
9bel / moqbel,avant,temporal,to review
9eblek,avant toi,temporal,to review
mor,après,temporal,to review
oumba3d,plus tard,temporal,to review
sba7,matin,temporal,to review
ftour / dhorhan,midi,temporal,to review
la3chiya,après-midi / soir,temporal,to review
essehra,soirée,temporal,to review
leyl / f-elill,nuit,temporal,to review
7etta,jusqu'à,temporal,to review
min,à partir,temporal,to review
kif kif / medem,en meme temps,temporal,to review
min ... hta,de ... à ...,temporal,to review
men dork,dès maintenant,temporal,to review
fi,pendant,temporal,to review
el had,dimanche,temporal,to review
etnin,lundi,temporal,to review
etleta,mardi,temporal,to review
lerab3,mercredi,temporal,to review
lekhmis,jeudi,temporal,to review
eldjem3,vendredi,temporal,to review
esebt,samedi,temporal,to review
seconde,seconde,temporal,to review
tqiqa,minute,temporal,to review
tqayeq,minutes,temporal,to review
se3a,heure,temporal,to review
swaya3,heures,temporal,to review
n'ar,Un jour,temporal,to review
liem / liemet,jours,temporal,to review
smana,semaine,temporal,to review
smenet,semaines,temporal,to review
ch'ar,mois,temporal,to review
3am,année / an,temporal,to review
sna,années / ans,temporal,to review
snin,années,temporal,to review
abadan,jamais,temporal,to review
osbo3yan,hebdomadaire,temporal,to review
chahryan,mensuel,temporal,to review
mindek,quelques fois,temporal,to review
ghali ben,souvent,temporal,to review
daymen / dima,toujours,temporal,to review
hadawin,venir de,temporal,to review
hedi mouda,ça fait longtemps,temporal,to review
mudda,durée,temporal,to review
ma zal / ma zalet,pas encore / il en reste,temporal,to review
koul lioum,tous les jours,temporal,to review
n'ar kaamel / ga3 n'ar,toute la journée,temporal,to review
bekri,tôt,temporal,to review
el7el,tard,temporal,to review
mara wa7da fi,une fois par,temporal,to review
melli,depuis que,temporal,to review
djwayeh,environ,temporal,to review
ta3 essba7,du matin,temporal,to review
ta3 le3chiya / ta3 elil,du soir,temporal,to review
3a elwa7da,à 1h,temporal,to review
3a ezzoudj,à 2h,temporal,to review
3a etlaata,à 3h,temporal,to review
3a erreb3a,à 4h,temporal,to review
3a elkhemsa,à 5h,temporal,to review
3a esseta,à 6h,temporal,to review
3a esseb3a,à 7h,temporal,to review
3a etmenya,à 8h,temporal,to review
3a ettes3a,à 9h,temporal,to review
3a el3echra,à 10h,temporal,to review
3a el7deech,à 11h,temporal,to review
3a ettnach,à 12h,temporal,to review
séf,été,temporal,to review
lakhriif,automne,temporal,to review
chta,hiver / pluie,temporal,to review
rbi3,printemps,temporal,to review
yenayer,janvier,temporal,to review
febrayer,février,temporal,to review
mars,mars,temporal,to review
abril,avril,temporal,to review
may,mai,temporal,to review
yonyo,juin,temporal,to review
yolyoz,juillet,temporal,to review
ghost,août,temporal,to review
chotambir,septembre,temporal,to review
october,octobre,temporal,to review
nowambir,novembre,temporal,to review
dojambir,décembre,temporal,to review
koul mara,souvent / tout le temps,temporal,to review
belek / wa9il,peut-être,adverb,to review
jaya,prochaine,temporal,to review
tashar,tard,temporal,to review
smana li fatet,semaine passée,temporal,to review
ch'ar li fat,mois passé,temporal,to review
l3am li fat,l'année passée,temporal,to review
smana el djaya,semaine prochaine,temporal,to review
ch'ar el djay,mois prochain,temporal,to review
l3am el djay,l'année prochaine,temporal,to review
lmara li fatet,la fois passée,temporal,to review
3andi ch7al ma,ça fait longtemps que je + verbe passé,temporal,to review
msba7,ça fait un moment,temporal,to review
mara loula,la première fois,temporal,to review
set chhour,six mois,temporal,to review
min dek,des fois,temporal,to review
khdar,vert,color,to review
k7el,noir,color,to review
biod,blanc,color,to review
zra9,bleu,color,to review
khokhe,rose,color,to review
7mor,rouge,color,to review
9ahwi,marron,color,to review
beba,mon père,person,to review
yemma,ma mère,person,to review
djadi / djadou,mon grand père,person,to review
djadati / mani,ma grand mère,person,to review
3mi / 3mou,mon oncle (paternel),person,to review
7ali / 7alou / Khali,mon oncle (maternel),person,to review
3mti / khalti,ma tante,person,to review
